DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;P3;P4005;P4015;P8520S3;P8520S5
7000000;1;1;1;1;6;1;1
7000001;1;1;1;1;4;1;1
7000002;1;1;1;1;4;1;1
7000003;1;1;1;1;4;1;1
7000004;1;1;1;1;4;1;1
7000005;1;1;1;1;6;1;1
7000006;1;1;1;1;4;1;1
7000007;1;1;1;1;4;1;1
7000008;1;1;1;1;4;1;1
7000010;1;1;1;1;4;1;1
7000011;1;1;1;8;6;1;1
7000013;1;1;1;1;4;1;1
7000014;1;1;1;5;6;2;2
7000015;1;1;1;1;6;1;1
7000016;1;1;1;5;7;2;2
7000017;1;1;1;1;4;1;1
7000018;1;1;3;5;7;2;1
7000019;1;1;3;5;6;2;1
7000020;1;1;2;1;4;2;2
7000021;1;1;1;1;4;1;1
7000022;1;1;1;1;4;1;1
7000023;1;1;1;1;4;1;1
7000024;1;1;1;1;4;1;1
7000025;1;1;1;1;6;1;1
7000026;1;1;1;1;6;1;1
7000027;1;1;3;1;6;2;1
7000028;1;1;3;1;6;2;1
7000029;1;1;3;3;6;2;1
7000030;1;1;3;1;4;2;1
7000031;1;1;3;4;6;2;2
7000032;1;1;3;1;6;2;1
7000034;1;1;1;1;6;1;1
7000035;1;1;1;1;4;1;1
7000036;1;1;1;1;4;1;1
7000037;1;1;1;8;7;2;2
7000038;1;1;1;8;7;1;1
7000039;1;1;1;1;6;1;1
7000040;1;1;1;1;6;1;1
7000041;1;1;1;8;7;1;1
7000042;1;1;1;8;7;1;1
7000043;1;1;1;1;6;1;1
7000044;1;1;1;1;6;1;1
7000045;1;1;1;1;4;1;1
7000046;1;1;1;8;4;1;1
7000047;1;1;1;8;6;1;1
7000048;1;1;1;6;6;1;1
7000049;1;1;1;8;7;1;1
7000051;1;1;1;1;7;2;2
7000052;1;1;1;5;7;2;2
7000054;1;1;1;8;7;2;2
7000055;1;1;1;1;6;2;2
7000056;1;1;1;1;4;1;1
7000058;1;1;1;1;6;1;1
7000059;1;1;1;1;6;1;1
7000060;1;1;1;1;4;1;1
7000061;1;1;1;1;6;1;1
7000062;1;1;1;1;4;1;1
7000063;1;1;1;1;4;1;1
7000064;1;1;1;1;4;1;1
7000065;1;1;1;1;4;1;1
7000066;1;1;1;1;4;1;1
7000067;1;1;1;1;4;1;1
7000069;1;1;1;5;5;2;1
7000070;1;1;1;5;5;2;1
7000071;1;1;1;5;2;2;1
7000072;1;1;1;5;2;2;1
7000073;1;1;1;5;2;2;1
7000074;1;1;1;5;5;2;1
7000075;1;1;3;1;6;2;2
7000076;1;1;3;1;6;2;2
7000077;1;1;3;1;6;2;2
7000078;1;1;1;1;5;1;1
7000079;1;1;1;1;6;1;1
7000080;1;1;1;1;4;1;1
7000082;1;1;1;1;4;1;1
7000083;1;1;1;1;4;1;1
7000084;1;1;1;1;4;1;1
7000085;1;1;1;6;3;1;1
7000086;1;1;1;1;4;1;1
7000087;1;1;1;1;4;1;1
7000088;1;1;1;1;4;1;1
7000089;1;1;1;1;4;1;1
7000090;1;1;1;1;4;1;1
7000091;1;1;1;1;4;1;1
7000092;1;1;1;1;4;1;1
7000093;1;1;1;1;4;1;1
7000094;1;1;1;1;4;1;1
7000095;1;1;1;1;4;1;1
7000096;1;1;1;1;4;1;1
7000097;1;1;1;1;6;1;1
7000098;1;1;1;1;6;2;1
7000099;1;1;1;1;4;1;1
7000102;1;1;1;1;6;1;1
7000103;1;1;1;1;4;1;1
7000104;1;1;1;1;4;1;1
7000105;1;1;1;1;6;1;1
7000106;1;1;1;1;4;1;1
7000107;1;1;1;2;6;1;1
7000108;1;1;1;1;6;1;1
7000109;1;1;1;1;4;1;1
7000110;1;1;1;1;4;1;1
7000111;1;1;1;1;6;1;1
7000112;1;1;1;1;4;1;1
7000113;1;1;1;1;4;1;1
7000114;1;1;1;1;6;1;1
7000115;1;1;1;1;6;1;1
7000116;1;1;1;1;6;1;1
7000117;1;1;1;1;6;1;1
7000118;1;1;1;1;6;1;1
7000119;1;1;1;1;4;1;1
