DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;P3;P4005;P4015;P8520S3;P8520S5
7247300;1;1;1;1;6;1;1
7247301;1;1;1;1;4;1;1
7247302;1;1;1;1;4;1;1
7247303;1;1;1;1;4;1;1
7247304;1;1;1;1;4;1;1
7247307;1;1;1;1;4;1;1
7247309;1;1;1;1;4;1;1
7247310;1;1;1;1;4;1;1
7247311;1;1;1;1;6;1;1
7247312;1;1;1;1;4;1;1
7247314;1;1;1;1;4;1;1
7247317;1;1;1;1;6;1;1
7247319;1;1;1;1;4;1;1
7247320;1;1;1;1;4;1;1
7247322;1;1;1;1;6;1;1
7247323;1;1;1;1;4;1;1
7247324;1;1;1;1;4;1;1
7247328;1;1;1;1;4;1;1
7247329;1;1;1;1;6;1;1
7247331;1;1;1;1;4;1;1
7247332;1;1;1;1;4;1;1
7247333;1;1;1;1;4;1;1
7247335;1;1;1;1;4;1;1
7247338;1;1;1;1;6;2;2
7247339;1;1;1;1;7;2;2
7247341;1;1;1;1;6;2;2
7247342;1;1;1;1;6;2;2
7247344;1;1;1;1;6;2;2
7247345;1;1;1;1;7;2;2
7247346;1;1;1;1;7;2;2
7247347;1;1;1;1;7;2;2
7247351;1;1;1;1;4;2;1
7247352;1;1;1;1;4;1;1
7247353;1;1;1;1;4;1;1
7247354;1;1;1;1;4;1;1
7247355;1;1;1;1;4;2;1
7247356;1;1;1;1;4;2;1
7247357;1;1;1;1;4;1;1
7247358;1;1;1;1;4;1;1
7247359;1;1;1;1;4;1;1
7247360;1;1;1;1;4;1;1
7247361;1;1;1;1;4;2;1
7247363;1;1;1;1;6;2;1
7247366;1;1;1;1;4;2;1
7247367;1;1;1;1;4;2;1
7247369;1;1;1;1;6;2;1
7247371;1;1;1;1;4;2;1
7247372;1;1;1;1;6;2;1
7247373;1;1;1;1;6;2;1
7247374;1;1;1;1;6;1;1
7247375;1;1;1;1;4;1;1
7247376;1;1;1;1;4;1;1
7247377;1;1;1;1;4;1;1
7247378;1;1;1;1;4;1;1
7247379;1;1;1;1;4;1;1
7247380;1;1;1;1;4;1;1
7247382;1;1;1;1;4;1;1
7247383;1;1;1;1;4;1;1
7247385;1;1;1;1;4;1;1
7247386;1;1;1;1;4;1;1
7247388;1;1;1;1;4;1;1
7247389;1;1;1;1;4;1;1
7247390;1;1;1;1;4;1;1
7247391;1;1;1;1;4;1;1
7247392;1;1;1;1;4;1;1
7247393;1;1;1;1;4;1;1
7247394;1;1;1;1;4;1;1
7247395;1;1;1;1;4;1;1
7247397;1;1;1;1;4;1;1
7247398;1;1;1;1;4;2;1
7247399;1;1;1;1;6;2;1
7247402;1;1;1;1;6;2;2
7247403;1;1;1;1;4;2;1
7247404;1;1;1;1;6;2;1
7247405;1;1;1;1;4;2;1
7247406;1;1;1;1;6;2;1
7247408;1;1;1;1;7;2;1
7247409;1;1;1;1;6;2;2
7247411;1;1;1;1;6;2;2
7247412;1;1;1;5;7;2;2
7247413;1;1;1;5;7;2;1
7247414;1;1;1;5;6;2;2
7247415;1;1;1;1;6;2;1
7247416;1;1;1;5;6;2;2
7247417;1;1;1;1;4;2;2
7247418;1;1;1;5;6;2;2
7247422;1;1;1;1;4;2;1
7247423;1;1;1;5;7;2;1
7247424;1;1;1;1;4;2;1
7247425;1;1;1;1;4;2;2
7247427;1;1;1;1;6;2;2
7247428;1;1;3;1;6;2;1
7247429;1;1;3;1;4;2;1
7247430;1;1;3;1;4;2;1
7247432;1;1;3;1;7;2;1
7247433;1;1;3;1;4;2;1
7247434;1;1;3;1;4;2;1
7247435;1;1;3;1;4;2;1
7247436;1;1;3;1;6;2;2
7247437;1;1;3;1;7;2;2
7247438;1;1;3;1;4;2;2
7247439;1;1;3;1;4;2;2
7247440;1;1;3;1;4;2;2
7247442;1;1;3;1;6;2;2
7247443;1;1;3;1;4;2;2
7247444;1;1;3;1;4;2;2
7247446;1;1;1;1;6;1;1
7247449;1;1;1;1;4;1;1
7247450;1;1;1;1;4;1;1
7247451;1;1;1;1;4;1;1
7247452;1;1;1;1;6;1;1
7247453;1;1;1;1;4;1;1
7247455;1;1;1;1;4;1;1
7247456;1;1;1;1;4;1;1
7247457;1;1;1;1;4;1;1
7247458;1;1;1;1;6;1;1
7247459;1;1;1;1;6;1;1
7247460;1;1;1;1;6;1;1
7247461;1;1;1;1;6;1;1
7247462;1;1;1;1;4;1;1
7247463;1;1;1;1;4;1;1
7247464;1;1;1;1;4;1;1
7247466;1;1;1;1;6;2;2
7247467;1;1;1;1;6;1;1
7247468;1;1;1;1;6;1;2
7247469;1;1;1;5;6;1;1
7247470;1;1;1;1;6;1;1
7247471;1;1;1;1;4;1;1
7247472;1;1;1;1;4;1;1
7247473;1;1;1;1;6;1;1
7247474;1;1;1;1;4;1;1
7247476;1;1;1;1;4;1;1
7247478;1;1;1;1;6;1;1
7247480;1;1;1;1;4;1;1
7247481;1;1;1;1;4;1;1
7247482;1;1;1;1;6;1;1
7247483;1;1;1;1;6;1;1
7247484;1;1;1;1;4;1;1
7247485;1;1;1;1;6;1;1
7247487;1;1;1;1;6;1;1
7247489;1;1;1;3;6;1;1
7247490;1;1;1;1;6;1;1
7247491;1;1;1;1;4;1;1
7247492;1;1;1;1;6;1;1
7247493;1;1;1;1;6;1;1
7247494;1;1;1;1;6;1;1
7247495;1;1;1;1;4;1;1
7247496;1;1;1;1;4;1;1
7247497;1;1;1;1;6;1;1
7247498;1;1;1;1;4;1;1
7247500;1;1;1;1;6;1;1
7247501;1;1;1;1;6;1;1
7247502;1;1;1;1;6;1;1
7247503;1;1;1;1;6;1;1
7247504;1;1;1;1;6;1;1
7247505;1;1;1;1;7;1;1
7247506;1;1;1;1;6;1;1
7247507;1;1;1;1;6;1;1
7247508;1;1;1;1;6;1;1
7247509;1;1;1;1;6;1;1
7247510;1;1;1;1;6;1;1
7247512;1;1;1;1;6;1;1
7247513;1;1;1;1;6;1;1
7247514;1;1;1;1;1;1;1
7247515;1;1;1;1;6;1;1
7247516;1;1;1;1;4;1;1
7247517;1;1;1;1;6;1;1
7247518;1;1;1;1;6;1;1
7247519;1;1;1;1;6;1;1
7247520;1;1;1;1;6;1;1
7247522;1;1;1;1;6;1;1
7247524;1;1;1;1;2;1;1
7247525;1;1;1;5;7;2;2
7247526;1;1;1;1;4;2;2
7247527;1;1;1;1;4;2;2
7247528;1;1;1;5;5;2;2
7247530;1;1;1;1;4;2;2
7247531;1;1;1;1;4;2;1
7247532;1;1;1;6;4;2;1
7247533;1;1;1;1;6;2;1
7247534;1;1;1;1;4;2;1
7247535;1;1;1;1;4;2;2
7247536;1;1;1;1;4;1;1
7247538;1;1;1;1;4;2;1
7247540;1;1;1;1;4;1;1
7247541;1;1;1;1;4;2;1
7247542;1;1;1;1;4;2;1
7247544;1;1;1;1;4;2;1
7247545;1;1;1;1;4;2;1
7247546;1;1;1;1;4;2;1
7247548;1;1;1;1;4;2;1
7247549;1;1;1;1;4;2;1
7247550;1;1;1;1;4;2;2
7247551;1;1;1;1;4;2;1
7247552;1;1;1;1;4;2;1
7247553;1;1;1;1;4;2;2
7247556;1;1;1;1;6;2;1
7247558;1;1;1;1;4;2;1
7247560;1;1;1;1;4;2;1
7247565;1;1;1;1;4;2;2
7247566;1;1;1;1;4;2;2
7247567;1;1;1;1;6;2;2
7247569;1;1;1;6;4;2;2
7247570;1;1;1;1;4;2;1
7247571;1;1;1;6;4;2;2
7247572;1;1;1;1;4;2;2
7247573;1;1;1;1;4;2;2
7247574;1;1;1;1;4;2;1
7247575;1;1;1;1;6;2;1
7247576;1;1;1;1;4;2;2
7247577;1;1;1;1;4;2;2
7247578;1;1;1;1;4;2;1
7247579;1;1;1;1;4;2;2
7247580;1;1;1;1;4;2;2
7247581;1;1;1;1;4;1;1
