DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,P3,P4005,P4015,P8520S3,P8520S5
7566839,1,1,1,1,4,1,1
7566840,1,1,1,1,4,1,1
7566841,1,1,1,1,4,1,1
7566842,1,1,1,1,4,1,1
7566843,1,1,1,1,4,1,1
7566844,1,1,1,1,4,1,1
7566845,1,1,1,1,6,1,1
7566846,1,1,1,1,6,1,1
7566847,1,1,1,1,6,1,1
7566848,1,1,1,1,4,1,1
7566849,1,1,1,1,4,1,1
7566850,1,1,1,1,4,1,1
7566852,1,1,1,1,4,1,1
7566853,1,1,1,1,4,1,1
7566854,1,1,1,1,4,1,1
7566855,1,1,1,1,4,1,1
7566856,1,1,1,1,4,1,1
7566857,1,1,1,1,4,1,1
7566858,1,1,1,1,4,1,1
7566859,1,1,1,1,6,1,1
7566860,1,1,1,1,4,1,1
7566861,1,1,1,1,4,1,1
7566862,1,1,1,1,4,1,1
7566864,1,1,1,1,4,1,1
7566865,1,1,1,1,4,1,1
7566866,1,1,1,1,4,1,1
7566869,1,1,1,1,4,1,1
7566870,1,1,1,1,6,1,1
7566871,1,1,1,1,4,1,1
7566872,1,1,1,1,4,1,1
7566873,1,1,1,1,4,1,1
7566874,1,1,1,1,4,1,1
7566875,1,1,1,1,4,1,1
7566876,1,1,1,1,6,1,1
7566877,1,1,1,1,6,1,1
7566878,1,1,1,1,4,1,1
7566879,1,1,1,1,6,1,1
7566880,1,1,1,1,6,1,1
7566885,1,1,1,1,4,1,1
7566886,1,1,1,1,4,1,1
7566887,1,1,1,1,6,1,1
7566888,1,1,1,1,6,1,1
7566890,1,1,1,1,4,1,1
7566891,1,1,1,1,4,1,1
7566894,1,1,1,1,4,1,1
7566895,1,1,3,5,7,2,2
7566896,1,1,3,5,7,2,2
7566897,1,1,3,5,1,2,2
7566898,1,1,3,5,7,2,2
7566900,1,1,3,5,6,2,2
7566901,1,1,3,1,6,2,2
7566902,1,1,3,9,7,2,1
7566907,1,1,1,1,6,1,1
7566909,1,1,1,1,4,1,1
7566911,1,1,1,1,6,1,1
7566914,1,1,1,1,6,1,1
7566917,1,1,1,3,7,2,1
7566924,1,1,1,1,6,2,1
7566925,1,1,1,5,7,2,1
7566927,1,1,1,1,6,2,1
7566928,1,1,1,1,6,1,1
7566930,1,1,1,1,6,2,1
7566931,1,1,1,1,6,2,1
7566937,1,1,1,1,6,2,1
7566938,1,1,1,1,4,2,1
7566939,1,1,1,1,6,1,1
7566940,1,1,1,1,4,2,1
7566941,1,1,1,1,4,2,1
7566942,1,1,1,1,7,2,1
7566943,1,1,1,9,7,1,1
7566944,1,1,1,1,4,1,1
7566948,1,1,1,1,4,2,1
7566949,1,1,1,1,6,2,1
7566950,1,1,1,1,6,2,1
7566951,1,1,1,1,6,2,1
7566953,1,1,1,5,7,2,1
7566954,1,1,1,9,7,2,1
7566955,1,1,1,3,6,2,1
7566956,1,1,1,1,6,2,1
7566957,1,1,1,3,7,2,1
7566958,1,1,1,1,6,1,2
7566959,1,1,1,1,6,1,1
7566961,1,1,1,1,6,1,1
7566963,1,1,1,1,6,1,1
7566964,1,1,1,1,6,1,1
7566965,1,1,1,1,4,1,1
7566966,1,1,1,1,6,1,1
7566967,1,1,1,1,4,1,1
7566968,1,1,1,1,6,1,1
7566969,1,1,1,9,7,1,1
7566971,1,1,1,1,6,2,1
7566981,1,1,1,1,6,1,1
7566982,1,1,1,1,4,1,1
7566983,1,1,1,1,6,1,1
7566984,1,1,1,1,4,1,1
7566986,1,1,1,1,6,1,1
7566988,1,1,1,1,4,1,1
7566989,1,1,1,1,4,1,1
7566990,1,1,1,1,6,1,1
7566991,1,1,1,1,4,1,1
7566992,1,1,1,1,4,1,1
7566993,1,1,1,1,4,1,1
7566994,1,1,1,1,6,1,1
7566995,1,1,1,1,4,1,1
7566998,1,1,1,1,7,1,1
7567000,1,1,1,1,4,1,1
7567001,1,1,1,1,6,1,1
7567002,1,1,1,1,6,2,1
7567005,1,1,1,9,7,2,2
7567007,1,1,1,1,6,2,2
7567008,1,1,1,9,7,2,2
7567009,1,1,1,1,6,2,2
7567010,1,1,1,1,6,2,2
7567012,1,1,1,1,6,2,2
7567013,1,1,1,5,7,2,2
7567014,1,1,1,1,6,1,1
7567016,1,1,1,1,4,2,1
7567017,1,1,1,1,4,1,1
7567018,1,1,1,1,4,1,1
7567019,1,1,1,1,6,2,2
7567021,1,1,3,4,7,2,2
7567022,1,1,3,4,7,2,2
7567027,1,1,1,1,4,1,1
7567030,1,1,3,4,7,2,2
7567032,1,1,1,1,4,1,1
7567033,1,1,1,1,6,1,1
7567034,1,1,1,1,4,1,1
7567035,1,1,1,1,4,1,1
7567037,1,1,1,1,4,1,1
7567038,1,1,1,1,4,1,1
7567040,1,1,1,1,4,1,1
7567041,1,1,1,1,6,1,1
7567047,1,1,1,9,6,1,1
7567049,1,1,1,9,6,1,1
7567051,1,1,1,1,1,1,1
7567052,1,1,1,9,6,1,1
7567053,1,1,1,5,6,1,1
7567054,1,1,1,1,4,1,1
7567055,1,1,1,1,6,1,1
7567056,1,1,1,1,6,1,1
7567061,1,1,1,1,7,2,2
