directorio,SECUENCIA_ENCUESTA,SECUENCIA_P,P3,P4005,P4015,P8520S3,P8520S5
7787900,1,1,1,5,6,2,1
7787901,1,1,1,1,4,1,1
7787902,1,1,1,1,6,1,1
7787903,1,1,1,1,4,1,1
7787904,1,1,1,1,4,1,1
7787906,1,1,1,1,4,1,1
7787907,1,1,1,1,4,1,1
7787908,1,1,1,1,4,1,1
7787909,1,1,1,1,4,1,1
7787911,1,1,1,1,4,1,1
7787912,1,1,1,1,4,1,1
7787913,1,1,1,1,4,1,1
7787914,1,1,1,1,4,1,1
7787915,1,1,1,1,4,1,1
7787916,1,1,1,1,4,1,1
7787917,1,1,1,1,4,1,1
7787918,1,1,1,1,4,1,1
7787919,1,1,1,1,4,1,1
7787920,1,1,1,1,4,1,1
7787921,1,1,2,1,7,1,1
7787924,1,1,1,1,4,1,1
7787925,1,1,1,1,4,1,1
7787927,1,1,1,1,4,1,1
7787928,1,1,1,1,6,1,1
7787929,1,1,1,1,4,1,1
7787930,1,1,1,1,4,1,1
7787931,1,1,1,1,4,1,1
7787932,1,1,1,1,4,1,1
7787933,1,1,1,1,4,1,1
7787934,1,1,1,1,4,1,1
7787935,1,1,1,1,4,1,1
7787936,1,1,1,1,4,1,1
7787937,1,1,1,1,4,1,1
7787938,1,1,1,1,6,1,1
7787939,1,1,1,1,4,1,1
7787940,1,1,1,1,4,1,1
7787941,1,1,1,1,4,1,1
7787942,1,1,1,1,6,1,1
7787943,1,1,1,1,4,1,1
7787944,1,1,1,9,7,1,1
7787945,1,1,1,9,7,1,1
7787947,1,1,1,1,4,1,1
7787948,1,1,1,1,4,1,1
7787949,1,1,1,1,4,1,1
7787950,1,1,1,1,4,1,1
7787951,1,1,1,1,4,1,1
7787952,1,1,1,1,4,1,1
7787953,1,1,1,1,4,1,1
7787954,1,1,1,1,4,1,1
7787957,1,1,1,1,4,1,1
7787958,1,1,1,1,6,1,1
7787959,1,1,1,1,4,1,1
7787961,1,1,1,1,6,1,1
7787962,1,1,1,1,6,1,1
7787965,1,1,1,1,6,1,1
7787966,1,1,1,1,4,1,1
7787967,1,1,1,1,6,2,2
7787968,1,1,1,1,6,1,1
7787969,1,1,1,7,7,1,1
7787970,1,1,1,9,7,1,1
7787971,1,1,1,9,7,1,1
7787973,1,1,1,9,7,2,1
7787975,1,1,1,1,4,1,1
7787976,1,1,1,9,7,1,2
7787977,1,1,1,1,4,1,1
7787979,1,1,1,1,4,1,1
7787980,1,1,1,1,6,1,1
7787981,1,1,1,1,4,1,1
7787982,1,1,1,1,4,1,1
7787983,1,1,1,1,4,1,1
7787985,1,1,1,1,4,1,1
7787986,1,1,1,1,4,1,1
7787987,1,1,1,1,4,1,1
7787988,1,1,1,1,4,1,1
7787990,1,1,1,1,4,1,1
7787992,1,1,1,1,6,1,1
7787993,1,1,1,1,4,1,1
7787996,1,1,1,1,4,1,1
7787997,1,1,1,9,7,1,1
7787998,1,1,1,1,4,1,1
7787999,1,1,1,1,4,1,1
7788000,1,1,1,1,4,1,1
7788001,1,1,1,1,4,1,1
7788002,1,1,1,9,5,1,1
7788003,1,1,1,1,4,1,1
7788004,1,1,2,1,6,1,1
7788005,1,1,1,1,6,1,1
7788006,1,1,1,1,6,1,1
7788007,1,1,2,1,7,1,1
7788008,1,1,1,1,4,1,1
7788009,1,1,2,1,4,1,1
7788010,1,1,2,1,7,1,1
7788011,1,1,1,1,4,1,1
7788013,1,1,1,1,4,1,1
7788015,1,1,1,1,4,1,1
7788017,1,1,1,1,4,1,1
7788018,1,1,1,1,4,1,1
7788019,1,1,1,1,4,1,1
7788020,1,1,1,1,4,1,1
7788021,1,1,1,1,4,1,1
7788024,1,1,1,1,4,1,1
7788026,1,1,1,9,7,1,1
7788027,1,1,2,1,6,2,1
7788029,1,1,1,1,4,1,1
7788030,1,1,1,1,4,1,1
7788033,1,1,1,1,4,1,1
7788035,1,1,1,9,7,1,1
7788039,1,1,1,1,6,1,1
7788040,1,1,1,1,4,1,1
7788041,1,1,1,1,4,2,1
7788045,1,1,1,1,6,1,1
7788046,1,1,1,1,6,1,1
7788048,1,1,1,1,4,1,1
7788049,1,1,1,1,4,1,1
7788050,1,1,1,1,4,1,1
7788051,1,1,1,1,4,1,1
7788052,1,1,1,1,4,1,1
7788054,1,1,1,1,4,1,1
7788056,1,1,1,1,6,2,2
7788058,1,1,1,1,4,1,1
7788061,1,1,1,1,4,1,1
7788062,1,1,1,1,4,1,1
7788063,1,1,1,1,4,1,1
7788064,1,1,1,1,4,1,1
7788065,1,1,1,1,4,1,1
7788066,1,1,1,1,4,1,1
7788067,1,1,1,1,4,1,1
7788068,1,1,1,1,4,1,1
7788069,1,1,1,1,4,1,1
7788070,1,1,1,1,4,1,1
7788071,1,1,1,1,1,1,1
7788072,1,1,1,1,4,1,1
7788073,1,1,1,1,4,1,1
7788074,1,1,2,4,6,1,1
7788075,1,1,1,1,6,1,1
7788076,1,1,1,1,4,1,1
7788077,1,1,1,1,4,1,1
7788080,1,1,1,1,4,1,1
7788081,1,1,1,8,7,1,1
7788082,1,1,1,1,4,1,1
7788083,1,1,1,1,4,1,1
7788084,1,1,1,1,4,1,1
7788085,1,1,1,1,4,1,1
7788086,1,1,1,5,7,1,1
7788087,1,1,1,1,4,1,1
7788088,1,1,1,1,4,1,1
7788089,1,1,1,1,4,1,1
7788091,1,1,1,1,4,1,1
7788092,1,1,1,1,4,1,1
7788093,1,1,1,1,7,1,1
7788094,1,1,1,1,4,1,1
7788095,1,1,1,1,4,1,1
7788097,1,1,1,1,6,1,1
7788099,1,1,1,1,6,1,1
7788100,1,1,1,1,4,1,1
7788101,1,1,1,1,6,1,1
7788102,1,1,1,1,4,1,1
7788103,1,1,1,1,4,2,2
7788104,1,1,1,1,4,2,2
7788105,1,1,1,5,6,1,1
7788106,1,1,1,6,6,1,1
7788107,1,1,1,1,4,1,1
7788109,1,1,1,1,4,1,1
7788111,1,1,1,1,6,1,1
7788112,1,1,1,1,2,2,2
7788115,1,1,1,1,4,1,1
7788117,1,1,1,1,4,1,1
7788118,1,1,1,1,4,1,1
7788119,1,1,1,1,6,1,1
7788120,1,1,1,1,4,1,1
7788122,1,1,1,1,4,1,1
7788123,1,1,1,1,4,2,2
7788124,1,1,1,1,4,1,1
7788126,1,1,1,1,4,1,1
7788127,1,1,1,1,6,2,2
7788130,1,1,1,1,4,2,2
7788131,1,1,1,1,4,1,1
7788132,1,1,1,6,6,1,1
7788133,1,1,1,1,4,1,1
7788135,1,1,1,1,4,1,1
7788136,1,1,1,1,4,2,2
7788138,1,1,1,1,4,1,1
7788139,1,1,1,1,4,1,1
7788140,1,1,1,1,4,1,1
7788141,1,1,3,1,6,2,2
7788142,1,1,1,1,4,1,1
7788144,1,1,1,1,4,2,2
7788146,1,1,1,1,6,1,1
7788147,1,1,1,1,4,1,1
7788150,1,1,1,1,4,1,2
7788151,1,1,1,1,4,1,2
7788152,1,1,1,1,6,1,2
7788155,1,1,3,5,7,2,2
7788156,1,1,1,1,4,1,1
7788157,1,1,2,1,4,1,1
7788159,1,1,1,1,4,1,1
7788160,1,1,1,1,6,1,1
7788161,1,1,1,1,4,1,1
7788162,1,1,1,1,6,1,1
7788163,1,1,1,1,4,1,1
7788164,1,1,1,1,4,1,1
7788165,1,1,1,1,6,1,1
7788166,1,1,1,1,7,1,1
7788169,1,1,1,1,4,1,1
7788170,1,1,1,1,4,1,1
7788171,1,1,1,1,4,1,1
7788173,1,1,1,1,6,1,1
7788174,1,1,1,1,4,2,2
7788175,1,1,3,2,6,2,1
7788176,1,1,1,1,6,2,1
7788177,1,1,1,1,4,2,2
7788178,1,1,1,1,6,1,1
7788180,1,1,3,5,6,2,2
7788182,1,1,1,1,4,2,1
7788183,1,1,3,3,6,2,1
7788186,1,1,3,5,5,2,2
7788188,1,1,1,1,4,1,1
7788189,1,1,1,1,6,2,2
7788190,1,1,1,1,6,1,1
7788191,1,1,1,1,4,1,1
7788192,1,1,1,1,4,1,1
7788193,1,1,1,1,6,2,2
7788194,1,1,1,1,4,1,1
7788196,1,1,1,1,6,2,2
7788197,1,1,3,5,6,2,2
7788201,1,1,3,5,6,2,2
7788202,1,1,3,5,4,2,2
7788203,1,1,1,1,6,1,1
7788204,1,1,1,1,4,1,1
7788206,1,1,2,5,7,2,2
7788207,1,1,1,6,6,1,1
7788208,1,1,1,1,4,1,1
7788209,1,1,2,5,7,2,2
7788210,1,1,1,1,4,2,1
7788212,1,1,2,5,7,2,2
7788213,1,1,1,1,4,1,1
7788215,1,1,1,1,4,1,1
7788216,1,1,1,1,4,1,1
7788217,1,1,1,1,4,1,1
7788218,1,1,1,1,4,1,1
7788219,1,1,3,5,7,2,2
7788220,1,1,1,1,4,1,1
7788221,1,1,1,9,7,1,1
7788223,1,1,1,1,4,2,1
7788225,1,1,1,1,4,1,1
7788226,1,1,1,1,4,1,1
7788227,1,1,1,1,4,1,1
7788229,1,1,1,1,4,2,1
7788230,1,1,1,1,6,1,1
7788233,1,1,1,1,4,1,1
7788234,1,1,1,1,4,1,1
7788235,1,1,1,1,4,2,1
7788236,1,1,1,1,4,2,1
7788237,1,1,3,1,6,2,2
7788239,1,1,1,1,4,1,1
7788240,1,1,1,1,4,1,1
7788241,1,1,2,5,6,2,1
7788242,1,1,2,1,6,1,1
7788243,1,1,1,1,4,1,1
7788244,1,1,1,1,4,1,1
7788245,1,1,1,1,6,1,1
7788246,1,1,1,1,4,2,1
7788247,1,1,2,1,4,1,1
7788248,1,1,1,1,6,1,1
7788249,1,1,1,3,7,1,1
7788250,1,1,1,1,6,1,1
7788251,1,1,1,1,6,1,1
7788252,1,1,1,1,4,1,1
7788254,1,1,1,1,6,1,1
7788255,1,1,1,1,4,1,1
7788256,1,1,3,5,7,2,2
7788257,1,1,1,1,4,1,1
7788258,1,1,1,1,6,2,2
7788259,1,1,3,5,4,2,2
7788261,1,1,3,1,6,2,2
7788262,1,1,1,1,4,1,1
7788263,1,1,3,5,4,2,2
7788264,1,1,1,5,7,2,2
7788265,1,1,2,1,6,1,1
7788267,1,1,1,1,6,1,1
7788268,1,1,3,1,6,2,1
7788269,1,1,1,1,4,1,1
7788273,1,1,1,5,6,1,1
7788275,1,1,3,5,5,2,2
7788277,1,1,1,1,4,1,1
7788278,1,1,3,2,6,2,1
7788279,1,1,1,1,6,2,1
7788283,1,1,1,1,4,1,1
7788286,1,1,2,5,7,2,1
7788287,1,1,1,1,6,2,1
7788288,1,1,1,1,4,1,1
7788289,1,1,2,1,4,1,1
7788290,1,1,3,2,6,2,1
7788291,1,1,1,1,4,1,1
7788292,1,1,1,1,4,1,1
7788293,1,1,1,1,4,1,1
7788295,1,1,1,1,6,2,2
7788296,1,1,1,1,4,1,1
7788297,1,1,1,1,4,1,1
7788299,1,1,3,1,4,2,2
7788303,1,1,1,1,4,2,1
7788304,1,1,1,1,4,1,1
7788305,1,1,1,1,4,1,1
7788306,1,1,2,1,4,1,1
7788307,1,1,1,1,4,1,1
7788308,1,1,1,1,4,1,1
7788309,1,1,1,1,4,1,1
7788310,1,1,1,1,4,1,1
